"SPECIES_CODE","SPECIES_COMMON_NAME","SPECIES_SCIENTIFIC_NAME","MANAGEMENT_GROUP_CODE","COMPLEX"
"SFL1","NOM. STARRY FLOUNDER","N/A","GRND","FLAT, RFLT"
"SFLT","UNSP. SHALLOW FLOUNDERS","N/A","GRND","FLAT, RFLT"
"SHAD","UNSP. SHAD","N/A","OTHR",""
"SHLL","__ALL SHELLFISH","N/A","SHLL",""
"SHP1","NOM. CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS SPP.","OTHR",""
"SHPD","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER","OTHR",""
"SHRK","__ALL SHARKS","N/A","HMSP",""
"SHRK","__ALL SHARKS","N/A","OTHR",""
"SHRK","__ALL SHARKS","N/A","GRND","MGRN"
"SHRP","SHARPCHIN ROCKFISH","SEBASTES ZACENTRUS","GRND","ROCK, NSLP, SSLP"
"SKAT","__ALL SKATES & RAYS","N/A","GRND","MGRN"
"SKAT","__ALL SKATES & RAYS","N/A","OTHR",""
"SKCR","SCARLET KING CRAB","LITHODES COUESI","CRAB","KCRB"
"SKIL","SKILFISH","Erilepis zonifer","OTHR",""
"SLGR","SILVERGRAY ROCKFISH","SEBASTES BREVISPINIS","GRND","ROCK, NSLF, SSLF"
"SLNS","SLENDER SOLE","LYOPSETTA EXILIS","GRND","FLAT, RFLT"
"SMLT","UNSP. SMELT","N/A","OTHR",""
"SNOS","SPLITNOSE ROCKFISH","SEBASTES DIPLOPROA","GRND","ROCK, NSLP"
"SNS1","NOM. SPLITNOSE ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLP"
"SOCK","SOCKEYE SALMON","ONCORHYNCHUS NERKA","SAMN",""
"SPK1","NOM. SPECKLED ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"SPKL","SPECKLED ROCKFISH","SEBASTES OVALIS","GRND","ROCK, NSLF, SSLF"
"SPRW","SPOTTED PRAWN","PANDALUS PLATYCEROS","SRMP",""
"SPSK","SANDPAPER SKATE","BATHYRAJA INTERRUPTA","OTHR","SKAT"
"SQID","UNSP. SQUID","DECAPODA SPP.","OTHR",""
"SQR1","NOM. SQUARESPOT","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"SQRS","SQUARESPOT ROCKFISH","SEBASTES HOPKINSI","GRND","ROCK, NSLF, SSLF"
"SRFP","SURFPERCH SPP.","SURFPERCH SPP.","OTHR",""
"SRK1","NOM. SHORTRAKER ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLP"
"SRKR","SHORTRAKER ROCKFISH","SEBASTES BOREALIS","GRND","ROCK, NSLP, SSLP"
"SRMP","__ALL SHRIMP & PRAWNS","N/A","SRMP",""
"SSCL","SHARPNOSE SCULPIN","CLINOCOTTUS ACUTICEPS","OTHR",""
"SSDB","SPECKLED SANDDAB","CITHARICHTHYS STIGMAEUS","GRND","FLAT, SDAB, RFLT"
"SSKT","STARRY SKATE","RAJA STELLULATA","OTHR","SKAT"
"SSLF","SOUTHERN SHELF ROCKFISH","N/A","GRND","ROCK"
"SSLP","SOUTHERN SLOPE ROCKFISH","N/A","GRND","ROCK"
"SSO1","NOM. SAND SOLE","N/A","GRND","FLAT, RFLT"
"SSOL","SAND SOLE","PSETTICHTHYS MELANOSTICTUS","GRND","FLAT, RFLT"
"SSP1","NOM. SHORTSPINE THORNYHEAD","SEBASTOLOBUS SPP.","GRND","ROCK, TRNY"
"SSPF","SHORTBILL SPEARFISH","TETRAPTURUS ANGUSTIROSTRIS","HMSP",""
"SSPN","SHORTSPINE THORNYHEAD","SEBASTOLOBUS ALASCANUS","GRND","ROCK, TRNY"
"SSRD","DEEP SO. NEARSHORE ROCKFISH","N/A","GRND","ROCK"
"SSRK","SOUPFIN SHARK","GALEORHINUS ZYOPTERUS","GRND","MGRN, SHRK"
"SSRS","SHALLOW SO. NEARSHORE ROCKFISH","N/A","GRND","ROCK"
"STAR","STARRY ROCKFISH","SEBASTES CONSTELLATUS","GRND","ROCK, NSLF, SSLF"
"STL1","NOM. STRIPETAIL ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"STLH","STEELHEAD","ONCORHYNCHUS MYKISS","SAMN",""
"STNA","SKIPJACK TUNA","KATSUWONUS PELAMIS","HMSP","TUNA"
"STR1","NOM. STARRY ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"STRB","SPOTTED TURBOT","PLEURONICHTHYS RITTERI","GRND","FLAT, RFLT"
"STRG","__ALL STURGEON","N/A","OTHR",""
"STRK","STRIPETAIL ROCKFISH","SEBASTES SAXICOLA","GRND","ROCK, NSLF, SSLF"
"STRY","STARRY FLOUNDER","PLATICHTHYS STELLATUS","GRND","FLAT, RFLT"
"SUSF","SOU. UNSP. SHELF ROCKFISH","N/A","GRND","ROCK, SSLF"
"SUSP","SOU. UNSP. SLOPE ROCKFISH","N/A","GRND","ROCK, SSLP"
"SUSR","SOU. UNSP. NEAR-SHORE ROCKFISH","N/A","GRND","ROCK"
"SWRD","SWORDFISH","XIPHIAS GLADIUS","HMSP",""
"SWS1","NOM. SWORDSPINE ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"SWSP","SWORDSPINE ROCKFISH","SEBASTES ENSIFER","GRND","ROCK, NSLF, SSLF"
"TCOD","PACIFIC TOMCOD","MICROGADUS PROXIMUS","OTHR",""
"TCRB","__ALL TANNER CRAB","N/A","CRAB",""
"TGR1","NOM. TIGER ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"THD1","NOM. THORNYHEADS","SEBASTOLOBUS SPP.","GRND","ROCK, TRNY"
"THDS","THORNYHEADS (MIXED)","SEBASTOLOBUS SPP.","GRND","ROCK, TRNY"
"TIGR","TIGER ROCKFISH","SEBASTES NIGROCINCTUS","GRND","ROCK, NSLF, SSLF"
"TRBT","__TURBOTS","N/A","GRND","FLAT"
"TRE1","NOM. TREEFISH","SEBASTES SPP.","GRND","ROCK, NSHR, SSRD"
"TREE","TREEFISH","SEBASTES SERRICEPS","GRND","ROCK, NSHR, SSRD"
"TRNY","__THORNYHEADS COMPLEX","N/A","GRND","ROCK"
"TSRK","COMMON THRESHER SHARK","ALOPIAS VULPINUS","HMSP","SHRK"
"TUNA","__ALL TUNAS","N/A","HMSP",""
"TUNA","__ALL TUNAS","N/A","OTHR",""
"UABL","UNSP. ABALONE","N/A","SHLL","ABLN"
"UCLM","UNSP. CLAM","N/A","SHLL","CLAM"
"UCRB","UNSP. CRAB","N/A","CRAB",""
"UDAB","UNSP. SANDDABS","CITHARICHTHYS SPP.","GRND","FLAT, SDAB, RFLT"
"UDF1","UNSP. DEEP-91 FLOUNDERS","N/A","GRND","FLAT, RFLT"
"UDF2","UNSP. DEEP-95 FLOUNDERS","N/A","GRND","FLAT, RFLT"
"UDM1","UNSP. DEMERSAL-91","N/A","GRND","ROCK"
"UDNR","UNSP. DEEP NEAR-SHORE RF","N/A","GRND","ROCK, NSHR, SSRD"
"UDSR","UNSP. DEMERSAL RKFSH","N/A","GRND","ROCK"
"UDW1","SHORTRAKER+ROUGHEYE","SEBASTES SPP.","GRND","ROCK"
"UECH","UNSP. ECHINODERM","ECHINODERMATA SPP.","OTHR","ECHN"
"UFL1","FLOUNDERS (NO FSOL)","N/A","GRND","FLAT, RFLT"
"UFLT","UNSP. FLATFISH","N/A","GRND","FLAT, RFLT"
"UGLG","UNSP. GREENLING","N/A","OTHR",""
"UGRN","UNSP. GROUNDFISH","N/A","GRND","MGRN"
"UHAG","UNSP. HAGFISH","EPTATRETUS SPP.","OTHR",""
"UHLB","UNSP. HALIBUT","N/A","OTHR",""
"UJEL","UNSP. JELLYFISH","SCYPHOZOA SPP.","OTHR",""
"UKCR","UNSP. KING CRAB","N/A","CRAB","KCRB"
"UMCK","UNSP. MACKEREL","N/A","CPEL","WETF"
"UMSK","UNSP. MOLLUSKS","N/A","OTHR","MLSK"
"UPLG","UNSP. PELAGIC RKFSH","N/A","GRND","ROCK"
"UPOP","UNSP. POP GROUP","N/A","GRND","ROCK, SSLP"
"URCK","UNSP. ROCKFISH","N/A","GRND","ROCK"
"URK1","SRKR+REYE+NRCK+SHRP","N/A","GRND","ROCK"
"URND","UNSP. ROUNDFISH","N/A","GRND","ROND"
"USCL","UNSP. SCALLOP","N/A","SHLL","SCAL"
"USCU","UNSP. SEA CUCUMBERS","N/A","OTHR","ECHN"
"USF1","UNSP. SHALLOW-91 FLOUNDERS","N/A","GRND","FLAT, RFLT"
"USHR","UNSP. NEAR-SHORE ROCKFISH","N/A","GRND","ROCK, NSHR"
"USKT","UNSP. SKATE","RAJIDAE SPP.","GRND","MGRN, SKAT"
"USLF","UNSP. SHELF ROCKFISH","N/A","GRND","ROCK, NSLF, SSLF"
"USLP","UNSP. SLOPE ROCKFISH","N/A","GRND","ROCK, NSLP, SSLP"
"USLR","UNSP. SLOPE RKFSH","N/A","GRND","ROCK"
"USMN","UNSP. SALMON","N/A","SAMN",""
"USR1","UNSP. SLOPE-91","N/A","GRND","ROCK"
"USR2","UNSP. SLOPE-93","N/A","GRND","ROCK"
"USRK","UNSP. SHARK","ELASMOBRANCHII SPP.","OTHR","SHRK"
"USRM","UNSP. OCEAN SHRIMP","N/A","SRMP",""
"USTG","UNSP. STURGEON","N/A","OTHR","STRG"
"USTR","UNSP. OYSTER","N/A","SHLL","OYST"
"UTCR","UNSP. TANNER CRAB","N/A","CRAB","TCRB"
"UTNA","UNSP. TUNA","N/A","HMSP","TUNA"
"UTRB","UNSP. TURBOTS","N/A","GRND","FLAT, TRBT, RFLT"
"UURC","UNSP. SEA URCHINS","ECHINODERMATA SPP.","OTHR","ECHN"
"VCLM","VARNISH CLAM","NUTTALLIA OBSCURATA","SHLL","CLAM"
"VRM1","NOM. VERMILLION ROCKFISH","SEBASTES SPP.","GRND","ROCK, NSLF, SSLF"
"VRML","VERMILION ROCKFISH","SEBASTES MINIATUS","GRND","ROCK, NSLF, SSLF"
"WABL","WHITE ABALONE","HALIOTIS SORENSENI","SHLL","ABLN"
"WBAS","WHITE SEABASS","ATRACTOSCION NOBILIS","OTHR","BASS"
"WCLM","WASHINGTON CLAM","SAXIDOMUS NUTTALLI","SHLL","CLAM"
"WCRK","WHITE CROAKER","GENYONEMUS LINEATUS","OTHR",""
"WDOW","WIDOW ROCKFISH","SEBASTES ENTOMELAS","GRND","ROCK"
"WDW1","NOM. WIDOW ROCKFISH","SEBASTES SPP.","GRND","ROCK"
"WEEL","WOLF EEL","ANARRHICHTHYS OCELLATUS","OTHR",""
"WETF","__ALL WET FISH","N/A","CPEL",""
"WHOO","WAHOO","ACANTHOCYBIUM SOLANDRI","OTHR",""
"WSTG","WHITE STURGEON","ACIPENSER TRANSMONTANUS","OTHR","STRG"
"XXXX","UNKNOWN SPECIES","N/A","XXXX","XXXX"
"YEY1","NOM. YELLOWEYE ROCKFISH","SEBASTES SPP.","GRND","ROCK"
"YEYE","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GRND","ROCK"
"YLTL","YELLOWTAIL","SERIOLA LALANDI","OTHR",""
"YMTH","YELLOWMOUTH ROCKFISH","SEBASTES REEDI","GRND","ROCK, NSLP, SSLP"
"YSOL","YELLOWFIN SOLE","LIMANDA ASPERA","GRND","FLAT, RFLT"
"YTNA","YELLOWFIN TUNA","THUNNUS ALBACARES","HMSP","TUNA"
"YTR1","NOM. YELLOWTAIL ROCKFISH","SEBASTES SPP.","GRND","ROCK, SSLF"
"YTRK","YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS","GRND","ROCK, SSLF"
