"license_type","license","year","value"
"Limited Entry & Restricted Access","Market Squid Light Boat Permit (NT)",2009,3
"Limited Entry & Restricted Access","Market Squid Brail (Upgrade From Lightboat)",2009,0
"Limited Entry & Restricted Access","Market Squid Vessel Permit (T)",2009,71
"Limited Entry & Restricted Access","Market Squid Vessel Permit (NT)",2009,9
"Limited Entry & Restricted Access","Market Squid Vesssel Permit, Experimental (NT)",2009,0
"Limited Entry & Restricted Access","Nearshore Permit",2009,NA
"Limited Entry & Restricted Access","Nearshore Trap Permit",2009,NA
"Limited Entry & Restricted Access","Nearshore Fishery Permit",2009,NA
"Limited Entry & Restricted Access","Nearshore Fishery Bycatch Permit",2009,19
"Limited Entry & Restricted Access","Nearshore Fishery Permit - N. Central Coast",2009,28
"Limited Entry & Restricted Access","Nearshore Fishery Permit - North Coast",2009,22
"Registration","Comm Fishing License (R)",2010,5570
"Registration","Comm Fishing License (NR)",2010,728
"Registration","Comm Boat Registration (R)",2010,2812
"Registration","Comm Boat Registration (NR)",2010,302
"Registration","Comm Passenger Fishing Vessel",2010,442
"Registration","Comm Aircraft Registration",2010,11
"Registration","Comm Salmon Stamp",2010,1328
"Registration","John Doe Salmon Stamp",2010,93
"Registration","Comm Ocean Enhancement Stamp",2010,802
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2010,48
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2010,210
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2010,83
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2010,502
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (T)",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (NT)",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2010,76
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (T)",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (NT)",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 1",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 2",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 3",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 4",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 5",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 6",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 7",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 1",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 2",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 3",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 4",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 5",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 6",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 7",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 1",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 2",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 3",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 4",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 5",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 6",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 7",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 1",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 2",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 3",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 4",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 5",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 6",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 7",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit Tier Upgrade Filing Fee",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 1",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 2",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 3",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 4",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 5",2010,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 6",2010,NA
"Registration","Comm Fishing License (R)",2011,5773
"Registration","Comm Fishing License (NR)",2011,918
"Registration","Comm Boat Registration (R)",2011,2818
"Registration","Comm Boat Registration (NR)",2011,309
"Registration","Comm Passenger Fishing Vessel",2011,429
"Registration","Comm Aircraft Registration",2011,8
"Registration","Comm Salmon Stamp",2011,1449
"Registration","John Doe Salmon Stamp",2011,255
"Registration","Comm Ocean Enhancement Stamp",2011,917
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2011,49
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2011,201
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2011,82
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (T)",2011,476
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (NT)",2011,18
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (T)",2011,69
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (NT)",2011,9
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 1",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 2",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 3",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 4",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 5",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 6",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 7",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 1",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 2",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 3",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 4",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 5",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 6",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 7",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 1",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 2",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 3",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 4",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 5",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 6",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 7",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 1",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 2",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 3",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 4",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 5",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 6",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 7",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit Tier Upgrade Filing Fee",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 1",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 2",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 3",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 4",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 5",2011,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 6",2011,NA
"Registration","Comm Fishing License (R)",2012,5941
"Registration","Comm Fishing License (NR)",2012,889
"Registration","Comm Boat Registration (R)",2012,2833
"Registration","Comm Boat Registration (NR)",2012,313
"Registration","Comm Passenger Fishing Vessel",2012,421
"Registration","Comm Aircraft Registration",2012,7
"Registration","Comm Salmon Stamp",2012,1636
"Registration","John Doe Salmon Stamp",2012,322
"Registration","Comm Ocean Enhancement Stamp",2012,1051
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2012,48
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2012,198
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2012,78
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (T)",2012,468
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (NT)",2012,23
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (T)",2012,71
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (NT)",2012,9
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 1",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 2",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 3",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 4",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 5",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 6",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 7",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 1",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 2",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 3",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 4",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 5",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 6",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 7",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 1",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 2",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 3",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 4",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 5",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 6",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 7",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 1",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 2",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 3",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 4",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 5",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 6",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 7",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit Tier Upgrade Filing Fee",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 1",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 2",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 3",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 4",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 5",2012,NA
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 6",2012,NA
"Registration","Comm Fishing License (R)",2013,5901
"Registration","Comm Fishing License (NR)",2013,868
"Registration","Comm Boat Registration (R)",2013,2828
"Registration","Comm Boat Registration (NR)",2013,303
"Registration","Comm Passenger Fishing Vessel",2013,437
"Registration","Comm Aircraft Registration",2013,7
"Registration","Comm Salmon Stamp",2013,1721
"Registration","John Doe Salmon Stamp",2013,355
"Registration","Comm Ocean Enhancement Stamp",2013,1124
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2013,47
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2013,192
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2013,74
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2013,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (T)",2013,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (NT)",2013,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2013,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (T)",2013,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (NT)",2013,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 1",2013,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 2",2013,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 3",2013,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 4",2013,3
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 5",2013,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 6",2013,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 7",2013,3
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 1",2013,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 2",2013,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 3",2013,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 4",2013,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 5",2013,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 6",2013,4
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 7",2013,5
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 1",2013,9
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 2",2013,6
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 3",2013,4
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 4",2013,6
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 5",2013,5
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 6",2013,21
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 7",2013,15
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 1",2013,46
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 2",2013,47
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 3",2013,49
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 4",2013,46
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 5",2013,49
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 6",2013,142
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 7",2013,99
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit Tier Upgrade Filing Fee",2013,27
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 1",2013,56
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 2",2013,51
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 3",2013,54
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 4",2013,51
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 5",2013,54
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 6",2013,158
"Registration","Comm Fishing License (R)",2014,5834
"Registration","Comm Fishing License (NR)",2014,933
"Registration","Comm Boat Registration (R)",2014,2821
"Registration","Comm Boat Registration (NR)",2014,288
"Registration","Comm Passenger Fishing Vessel",2014,454
"Registration","Comm Aircraft Registration",2014,6
"Registration","Comm Salmon Stamp",2014,1745
"Registration","John Doe Salmon Stamp",2014,343
"Registration","Comm Ocean Enhancement Stamp",2014,1125
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2014,44
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2014,187
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2014,74
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2014,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (T)",2014,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (NT)",2014,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2014,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (T)",2014,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (NT)",2014,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 1",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 2",2014,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 3",2014,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 4",2014,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 5",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 6",2014,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 7",2014,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 1",2014,3
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 2",2014,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 3",2014,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 4",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 5",2014,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 6",2014,3
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 7",2014,4
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 1",2014,10
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 2",2014,6
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 3",2014,5
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 4",2014,6
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 5",2014,5
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 6",2014,19
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 7",2014,13
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 1",2014,47
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 2",2014,45
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 3",2014,49
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 4",2014,45
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 5",2014,52
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 6",2014,139
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 7",2014,99
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit Tier Upgrade Filing Fee",2014,9
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 1",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 2",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 3",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 4",2014,0
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 5",2014,2
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 6",2014,4
"Registration","Comm Fishing License (R)",2015,5543
"Registration","Comm Fishing License (NR)",2015,907
"Registration","Comm Boat Registration (R)",2015,2894
"Registration","Comm Boat Registration (NR)",2015,316
"Registration","Comm Passenger Fishing Vessel",2015,480
"Registration","Comm Aircraft Registration",2015,6
"Registration","Comm Salmon Stamp",2015,1685
"Registration","John Doe Salmon Stamp",2015,330
"Registration","Comm Ocean Enhancement Stamp",2015,1139
"Limited Entry & Restricted Access","California Halibut Bottom Trawl Vessel Permit",2015,42
"Limited Entry & Restricted Access","Deeper Nearshore Species Fishery Permit",2015,185
"Limited Entry & Restricted Access","Drift Gill Net Shark/Swordfish Permit",2015,73
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R)",2015,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (T)",2015,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (R) (NT)",2015,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR)",2015,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (T)",2015,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit (NR) (NT)",2015,NA
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 1",2015,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 2",2015,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 3",2015,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 4",2015,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 5",2015,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 6",2015,2
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (NR) - Tier 7",2015,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 1",2015,3
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 2",2015,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 3",2015,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 4",2015,0
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 5",2015,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 6",2015,3
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit NT (R) - Tier 7",2015,1
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 1",2015,10
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 2",2015,6
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 3",2015,6
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 4",2015,5
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 5",2015,5
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 6",2015,20
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (NR) - Tier 7",2015,12
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 1",2015,46
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 2",2015,46
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 3",2015,49
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 4",2015,48
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 5",2015,49
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 6",2015,142
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit T (R) - Tier 7",2015,99
"Limited Entry & Restricted Access","Dungeness Crab Vessel Permit Tier Upgrade Filing Fee",2015,0
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 1",2015,57
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 2",2015,51
"Limited Entry & Restricted Access","Dungeness Crab Trap Tag Biennial Fees (T) - Tier 3",2015,55
