CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,SRC_ID_IND,FCLTY_NM,DESCRIPTN,ADDRESS,OTHER_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,AUTHORITY,OPERATOR,COMMODITY,STOR_CPCTY,DATA_SRCE,TYPE_USE,BERTH_DESC,SHAPE,SEQ_ID,X,Y
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,219,N,Tofino - 4th Street Floats,Port,"Tofino, BC","Box 826, 40-4th St, Tofino, BC  V0R 2Z0",,V0R 2Z0,Tofino,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.1533333,-125.9002778,Tofino; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Tofino Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, security, pay phone, restroom facilities",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick, breakwater, launch, plane float",,209,-125.90027779423471,49.153333328118194
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,220,N,Tofino (Wingen Lane),Port,"Tofino, BC","Box 826, 40-4th St, Tofino, BC  V0R 2Z0",,V0R 2Z0,Tofino,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.15444,-125.905593,Tofino; Wingen Lane; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Tofino Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, pay phone, lights",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"floats, plane float",,349,-125.90559300214905,49.15444000229151
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,221,N,Steveston (Paramont),Port,"12740 Trites Rd, Richmond, BC","12740 Trites Rd, Richmond, BC",12740 Trites Rd,V7E 3R8,Richmond,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.118829999999996,-123.16137,Steveston; Gulf of Georgia; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Steveston Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, security, fuel sales, restroom facilities, laundry, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick, breakwater, launch",,303,-123.16136999590265,49.11882999947199
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,222,N,Degnen Bay,Port,"Gabriola Island, BC","PO Box 51, Gabriola Island, BC  V0R 1X0",,V0R 1X0,Gabriola Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.136846999999996,-123.713028,Degnen Bay; Core; Fishing; Port; Small Craft Harbour; Marina,20200121073233,,Degnan Bay Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, garbage, lights, pay phone",BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia,Fishing,"wharf and floats, breakwater",,245,-123.71302799589627,49.13684699573987
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,223,N,Steveston (Gulf of Georgia),Port,"12740 Trites Rd, Richmond, BC","12740 Trites Rd, Richmond, BC",12740 Trites Rd,V7E 3R8,Richmond,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.1245554,-123.188864,Steveston; Gulf of Georgia; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Steveston Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, pumpout, storage, security, fuel sales, restroom facilities, laundry, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick, breakwater, launch",,449,-123.188864005935,49.12455539977891
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,224,N,Harmac Pulp Operations,Terminal,"Nanaimo, BC","PO Box 1800, 1000 Wave Pl, Nanaimo, BC  V9X 1J2",,V9X 1J2,Nanaimo,,,,http://www.harmacpacific.com/contacts.php,,49.1402757,-123.8562945,Harmac; Terminal; Pulp and Paper; Nanaimo; Northumberland Channel,20200121073233,,Nanaimo Port Authority,Nanaimo Forest Prodcuts Ltd,softwood pulp,Private dock with extensive barge facilities,Nanaimo Port Authority; BC Ports Handbook 2014; Harmac Pacific,Pulp and paper,"length 122 m, width 18 m, depth 10.2 m",,415,-123.85629450115874,49.140275676655
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,225,N,Fraser Wharves,Terminal,"13800 Steveston Hwy, Richmond, BC","13800 Steveston Hwy, Richmond, BC",13800 Steveston Hwy,V6W 1A8,Richmond,,,,http://www.cosbc.ca/index.php/local/item/820-bc-ports-handbook-now-available,,49.1289,-123.0694679,Fraser Wharfs; Fraser River; Richmond; Terminal; Vehicles; Metro Port Vancouver,20200121073233,,Port Metro Vancouver ,Port Metro Vancouver,"facility not in use (2016), automobile terminal property purchased by Metro Port Vancouver","Accommodate 15,000 vehicles, dedicated automobile import facility, Direct access to national rail lines",Port Metro Vancouver; BC Ports Handbook 2014 ,Not in use,"length 153 m , depth 10 m FW",,461,-123.06946790662504,49.12889995255715
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,226,N,Duke Point Deep Sea Terminal,Terminal,"100 Port Dr, Nanaimo, BC","100 Port Dr, Nanaimo, BC",100 Port Dr,V9R 5K4,Nanaimo,,,,http://deepsea.npa.ca/en/terminal-facilities/cargo-facilities/duke-point/,,49.1488769,-123.8777491,Terminal; Deep Sea; Duke Point; Westcan; Forest Products; Northumberland Channel,20200121073233,,Nanaimo Port Authority,Westcan Terminals Ltd ,"forest products, general cargo, project cargo",6 ha of paved open storage area,Nanaimo Port Authority; BC Ports Handbook 2014,Forest Products and Cargo,"length 170 m, depth 13.5 m",,447,-123.87774909771126,49.14887693675968
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,227,N,Opitsat,Port,"Meares Island, BC","Meares Island, BC",,,Meares Island,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.172291,-125.905842,Opitsat; Non-Core; Fishing; Port; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,"fish, non-core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing ,wharf and floats,,189,-125.905841994246,49.17229100329552
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,228,N,Nanaimo Assemply Wharves,Terminal,"100 Port Dr, Nanaimo, BC","100 Port Dr, Nanaimo, BC",100 Port Dr,V9R 5K4,Nanaimo,,,,http://portauthority.npa.ca/en/path-2025/nanaimo-assembly-wharf-terminal/,,49.1628818,-123.9249664,Nanaimo; Assembly Wharf; Terminal; Forest Products; Cargo; Departure Bay,20200121073233,,Nanaimo Port Authority,Westcan Terminals Ltd. ,"forest products, general cargo","15 ha paved open storage, three warehouses totalling 8332 sq m of covered stoage",Nanaimo Port Authority Terminal Facilities; BC Ports Handbook 2014 ,Bulk and Cargo,"Berth A: length 182.88 m, depth 9.2 m; Berth B: length 182.88 m, depth 12.0 m; Berth C: length 182.88 m, depth 11.7 m",,429,-123.92496640340326,49.16288179704068
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,229,N,Nanaimo Cruise Terminal,Terminal,"100 Port Dr, Nanaimo, BC","100 Port Dr, Nanaimo, BC",100 Port Dr,V9R 5K4,Nanaimo,,,,http://cruise.npa.ca/en/,,49.1639796,-123.9247056,Nanaimo; Cruiseship; Terminal; Departure Bay; Passengers,20200121073233,,Nanaimo Port Authority,Nanaimo Port Authority,passengers,N/A,Nanaimo Port Authority; BC Ports Handbook 2014,Cruiseship,Concrete pontoon measuring approximately 300 feet in length by 50 feet,,537,-123.92470560380465,49.16397961588822
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,230,N,Seaspan Coastal Intermodal Company,Terminal,"7700 Hopcott Rd, Delta, BC","7700 Hopcott Rd, Delta, BC",7700 Hopcott Rd,V4G 1B6,Delta,,,,http://www.seaspan.com/,,49.1440511,-123.0335685,Seaspan; Delta; Terminal; Trucks; Trailers; Railcars; Fraser River,20200121073233,,Port Metro Vancouver ,Seaspan Coastal Intermodal Company,"truck, trailer, railcar ferry terminal serving Vancouver Island",14 acre paved yard,Seaspan Coastal Intermodal Company; Port Metro Vancouver; BC Ports Handbook 2014 ,Ferry,"2 all tide ferry ramps, 3 layover, 1 barge ramp and bulkhead",,263,-123.03356850662117,49.144051142129626
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,231,N,Lehigh Northwest Cement,Terminal,"Delta, BC","PO Box 950, 7777 Ross Rd, Delta, BC  V4G 1B8",,V4G 1B8,Delta,,,,http://lehighhansoncanada.com/,,49.1459722,-123.0290179,Lehigh; Delta; Terminal; Cement; Vancouver,20200121073233,,Port Metro Vancouver ,Lehigh Northwest Cement,bulk Cement,N/A,Lehigh Hanson Canada;  BC Ports Handbook 2014; Port Metro Vancouver,Breakbulk and Bulk ,"length 182 m, depth 7.6 m FW",,493,-123.02901789394424,49.145972158961825
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,232,N,Mission,Port,"33428 Harbour Ave, Mission, BC","33428 Harbour Ave, Mission, BC",33428 Harbour Ave,V2V 2W4,Mission,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.1289028,-122.3001111,Mission; Core; Fraser River; Fishing; Port; Small Craft Harbour,20200121073233,,Mission Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, restroom facilities, pay phone, laundry, pumpout",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing ,"wharf and floats, launch, breakwater",,427,-122.30011109898531,49.12890278151286
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,233,N,McIvor's Landing (Langley),Port,"Langley, BC","Box 887, Station Fort Langley, Fort Langley, BC  V1M 2S3",,V1M 2S3,Langley,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.163098999999995,-122.52501,McIvor's Landing; Fraser River; Core; Fishing; Port; Small Craft Harbour,20200121073233,,McIvors Landing Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, garbage, lights",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing ,"wharf and floats, breakwater, derrick",,551,-122.52500999732834,49.16309900238011
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,234,N,Fraser Surrey Docks,Terminal,"11060 Elevator Rd, Delta, BC","11060 Elevator Rd, Surrey, BC  V3V 2R7",11060 Elevator Rd,V3V 2R7,Delta,,,,http://www.fsd.bc.ca/,,49.1754027,-122.9210902,Fraser Surry Docks; Terminal; Containers; Steel; Forest Products; General Cargo; Fraser River,20200121073233,,Port Metro Vancouver ,Fraser Surrey Docks LP,"containerized cargo, steel products, forest products, project and general cargo","Total capacity up to 800 000 TEUs, 5 full service warehouses total 35,300 sq m. 3 sheds for weather sensative cargo, full rail cargo capacity",Fraser Surrey Docks; Metro Port Vancouver; BC Ports Handbook 2014,Container,"Berths #2/3/4: length 565 m, depth 11 m; #6: barge berth #7/8/9: length 705 m, depth 12.5 m; #10: length 200 m dolphin berth, depth 12 m",,195,-122.92109019881738,49.175402706939025
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,235,N,Whonnock,Port,"Maple Ridge, BC","33428 Harbour Ave, Mission, BC  V2V 2W4",,V2V 2W4,Maple Ridge,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.172322,-122.475386,Whonnock; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Mission Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing ,wharf and floats,,491,-122.47538599705207,49.17232200013104
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,236,N,WWL Vehicle Services Canada,Terminal,"#100 - 820 Dock Rd, Annacis Island, Delta, BC","#100 - 820 Dock Rd, Annacis Island, Delta, BC","#100 - 820 Dock Rd, Annacis Island",V3M 6A3,Delta,,,,http://www.2wglobal.com/,,49.1860675,-122.9215677,WWL; Vehicles; Fraser River; Terminal; Roll on Roll off,20200121073233,,Port Metro Vancouver ,Wallenius Wilhelmsen Logistics,automobiles and roll-on / roll-off equipment,"103 acres of land, on-site storage for 15,0000+ vehicles.",Wallenius Wilhelmsen Logistics; BC Ports Handbook 2014; Port Metro Vancouver,Automobile,"legnth: 213 and 190 m berths, depth 10.7 m",,399,-122.9215676962578,49.18606746782351
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,237,N,Berry Point Site,Shipyard,"800 Glasgow Ave, Burnaby, BC","800 Glasgow Ave, Burnaby, BC",800 Glasgow Ave,V6X 3C6,Burnaby,,,,http://islandtug.com/,,49.1894971,-122.9739567,Berry Point; Vancouver; Island Tug and Barge; Vessel services; Terminal; Burrard Inlet,20200121073233,,Port Metro Vancouver ,Island Tug and Barge,commercial vessel services,6 hectares land area; 19 hectares tidal water area,Island Tug and Barge; BC Ports Handbook 2014; Port Metro Vancouver,Vessel services,"Berth 122 m length, 9.1 m wide, min depth 12 m",,413,-122.97395669479174,49.18949708077524
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,238,N,Burlington Northern-Santa Fe,Terminal,"Surrey, BC","400 Brunette Ave, New Westminster, BC  V3L 3E8",,V3L 3E8,Surrey,,,,http://www.bnsf.com/ ; http://www.fsd.bc.ca/index.php/company/about-us/,,49.1891652,-122.9125888,Burlington Northern; Santa Fe; Rail; Terminal; Fraser Surrey docks; Breakbulk; New Westminster; Port of Vancouver ,20200121073233,,Port Metro Vancouver ,Burlington Northern-Santa Fe,"steel, breakbulk, pulp, newsprint, lumber, coal, forest products, agricultural products",2 hectares with 2800 sq m on-dock warehouse and on-dock rail service on Fraser Surrey Docks,Burling Northern Santa Fe Railway; Fraser Surrey Docks;  Port Metro Vancouver; BC Ports Handbook 2014,"Breakbulk, Forest Products and Cargo","200 m deep sea berth, depth alongside 10 m; mooring buoy, barge passover, 120 m barge dock with 6.5 m depth alongside, barge ramp",,309,-122.91258879988041,49.18916519204566
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,239,N,McMillan Island,Port,"Langley, BC","Langley, BC",,,Langley,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.1799638,-122.5669751,McMillian; Core; Fraser River; Fishing; Port; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,"fish, core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing ,wharf and floats,,347,-122.56697510479628,49.17996375282159
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,240,N,Albion,Port,"Maple Ridge, BC","Box 1060 Station Albion, Maple Ridge, BC  V2W 1W1",,V2W 1W1,Maple Ridge,,,,http://www.haa.bc.ca/harbour/albion,,49.181362,-122.557199,Albion; Port; Fraser River; Fishing; Core; Small Craft Harbour ,20200121073233,,Kanaka Landing Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, light services",BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours,Fishing ,wharf and floats,,235,-122.55719900035135,49.181361998519336
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,241,N,Port Alberni Terminals,Terminal,"2750 Harbour Rd, Port Alberni, BC","2750 Harbour Rd, Port Alberni, BC",2750 Harbour Rd,V9Y 7X2,Port Alberni,,,,http://www.portalberniportauthority.ca/en/port-alberni-terminals,,49.2358226,-124.8135341,Port Alberni; Terminal; Lumber; Paper,20200121073233,,Port Alberni Port Authority,Port Alberni Harbour Authority,"lumber, paper",6.88 ha paved. 4 sheds at 4645 sq m,Port Alberni Harbour Authority; BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities,Forest Products,"Berth #1/2 total length 320 m, depth 11.4 m; #3: length 183 m dock face, depth 12.2 m",,385,-124.81353409754425,49.235822623300635
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,242,N,Port Alberni Fishing Harbour,Port,"2750 Harbour Rd, Port Alberni, BC","2750 Harbour Rd, Port Alberni, BC",2750 Harbour Rd,V9Y 7X2,Port Alberni,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.236809,-124.812814,Port Alberni; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Port Alberni Port Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, storage, restroom facilities, security, pumpout",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing,"wharf and floats, derrick, breakwater",,291,-124.81281399863059,49.23680899636107
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,243,N,Kanaka (Haney) Landing,Port,"23250 McKay Ave, Maple Ridge, BC","23250 McKay Ave, Maple Ridge, BC",23250 McKay Ave,V2W1B9,Maple Ridge,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.1896361,-122.5776694,Kanaka Landing; Haney; Core; Fishing; Port; Small Craft Harbour,20200121073233,,Kanaka Landing Harbour Authority,DFO Small Craft Harbour,"fish, core fishing harbour","moorage, hydro, water, garbage, lights, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Fishing ,"wharf and floats, breakwater, derrick",,497,-122.57766939840091,49.189636112430264
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,244,N,Marktosis (Ahousat Village),Port,"Ahousaht, BC","Ahousaht, BC",,,Ahousaht,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.278835,-126.058799,Port; Non-core; Fishing; Marktosis; Ahousat Village; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,"fish, non-core fishing harbour",moorage,Department of Fisheries and Oceans Small Craft Harbours,Fishing,wharf and floats,,409,-126.05879900161972,49.2788349961592
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,245,N,Ahousaht,Port,"Ahousaht, BC","Ahousaht, BC",,,Ahousaht,,,,,,49.2821839,-126.0714969,Ahousaht; Port; Matilda Inlet; Flores Island; Non-core; Fishing; Small Craft Harbours,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,"fish, non-core fishing harbour",N/A,Department of Fisheries and Oceans Small Craft Harbours,Fishing ,dock and floats,,187,-126.07149690049832,49.28218386430779
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,246,N,Schooner Cove - Breakwater,Harbour,"Nanoose Bay, BC","Nanoose Bay, BC",,,Nanoose Bay,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.2876371,-124.1331895,Schooner Cover; Harbour; Recreational; Small Craft Harbour ,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,recreational harbour,N/A,Department of Fisheries and Oceans Small Craft Harbours,Recreational,wharf and floats,,267,-124.1331895039136,49.28763706023363
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,247,N,Vancouver (False Creek),Harbour,"1505 West 1st Ave, Vancouver, BC","1505 West 1st Ave, Vancouver, BC",1505 West 1st Ave,V6G 1E8,Vancouver,,,,http://www.haa.bc.ca/harbour/false-creek,,49.272828999999994,-123.138939,False Creek; Vancouver; Recreational; Harbour; Marina,20200121073233,,False Creek Harbour Authority,False Creek Harbour Authority,NA,"moorage, hydro, water, garbage, lights, parking, pumpout, restroom facilities, pay phone",Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014,Recreational,"wharf and floats, breakwater derrick",,371,-123.13893899751436,49.272829001447334
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,248,N,Northwest Bay,Harbour,"Nanoose Bay, BC","Nanoose Bay, BC",,,Nanoose Bay,,,,http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc,,49.3025843,-124.2015176,Northwest Bay; Core; Fishing; Harbour; Small Craft Harbour,20200121073233,,Department of Fisheries and Oceans,DFO Small Craft Harbour,recreational,moorage,Department of Fisheries and Oceans Small Craft Harbours,Recreational,"wharf and floats, breakwater",,211,-124.20151760160607,49.3025843363632
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,249,N,Main Street Dock,Terminal,"Main St Dock, Vancouver, BC","Main St Dock, Vancouver, BC",Main St Dock,V6A 1B0,Vancouver,,,,http://www.cbsa-asfc.gc.ca/do-rb/offices-bureaux/353-eng.html,,49.28619,-123.0999541,Main Street Dock; Vancouver; Terminal; Vessel Services; Emergency; Police,20200121073233,,Port Metro Vancouver ,Harbour Master's Office,emergency and regulatory vessel services,A lay berth for small ships and has a barge ramp adjacent to the dock operated by Tymac Launch services.,BC Ports Handbook 2014; Port Metro Vancouver ,Vessel Services,"Berth length 122 m, dock face 2205 m wide, depth alongside 5 m",,443,-123.09995409331735,49.28618994713751
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,250,N,Ballantyne Pier,Terminal,"655 Centennial Rd, Vancouver, BC","655 Centennial Rd, Vancouver, BC",655 Centennial Rd,V6A 4B8,Vancouver,,,,http://www.portmetrovancouver.com/cargo-terminals/terminals/,,49.2871201,-123.0864877,Ballentine Pier; Vancouver; Terminal; Passenger; Cruise; General Cargo,20200121073233,,Port Metro Vancouver ,Port Metro Vancouver,"passengers, general cargo","Dock Apron: 10,100 sq m; Baggage area: 2320 sq m",Port Metro Vancouver; BC Ports Handbook 2014 ,Passenger Cruise and Cargo,"East #1: length 366 m; West #2 used as an overflow berth, depth alongside: 10 m",,373,-123.08648770158182,49.28712005084687
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,251,N,Alliance Grain Terminal,Terminal,"1155 Stewart St, Vancouver, BC","1155 Stewart St, Vancouver, BC",1155 Stewart St,V6A 4H4,Vancouver,,,,http://www.parrishandheimbecker.com/5_901,,49.2872804,-123.0785756,Alliance Grain; Vancouver; Terminal; Breakbulk; Bulk; Grain,20200121073233,,Port Metro Vancouver ,Alliance Grain Terminal,"wheat, durum, barley, and canola","102,070 tonnes",Alliance Grain Terminal; BC Ports Handbook 2014; Port Metro Vancouver,Breakbulk and Bulk ,"West: length 213 m, limiting draft 9.8 m; East: length 213 m, limiting draft 12.6 m",,193,-123.07857560638432,49.28728044006409
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,252,N,Lantic Inc,Terminal,"123 Rogers St, Vancouver, BC","123 Rogers St, Vancouver, BC",123 Rogers St,V6A 3N2,Vancouver,,,,http://www.lantic.ca/en/,,49.2878166,-123.0806179,Lantic; Burrard Inlet; Sugar; Terminal; Vancouver,20200121073233,,Port Metro Vancouver ,Lantic Inc. ,"bulk sugar imports, also used as a lay berth",N/A,Lantic Inc; BC Ports Handbook 2014; Port Metro Vancouver,Breakbulk and Bulk ,"length 130 m, depth 9.1 m at LW",,273,-123.08061789542586,49.28781660619501
"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",waterTransportation,Water Transportation,BC Ports and Terminals,253,N,Centerm,Terminal,"777 Centennial Rd, Vancouver, BC","777 Centennial Rd, Vancouver, BC",777 Centennial Rd,V6A 1A3,Vancouver,,,,https://www.dpworld.ca/,,49.2881834,-123.0924344,Centerm; Vancouver; Burrard Inlet; Terminal,20200121073233,,Port Metro Vancouver ,DP World Vnacouver,"containerized, breakbulk cargo, forest products, general cargo","Site equipment: 6 container cranes, container moving equipment, scales; Container storage: 5-high grounded operations with 19000 TEUs storage",Port Metro Vancouver; DP World Vnacouver; BC Ports Handbook 2014,Container,"#1: length 350 m, depth 10.5 m; #2: length 200 m, depth 15.4 m; #3 length 200 m, depth 11.5 m; #4: length 183 m, depth 8.6 m; #5: length 324 m, depth 15.0 m; #6: length 324 m, depth 15.6 m",,231,-123.09243440173188,49.288183348181306
