"spp_code","comm_name","sci_name","mgmt_group_code","complex_code"
"TUNA","All tunas",NA,"HMSP, OTHR",""
"UABL","Unsp. Abalone",NA,"SHLL","ABLN"
"UCLM","Unsp. Clam",NA,"SHLL","CLAM"
"UCRB","Unsp. Crab",NA,"CRAB",""
"UDAB","Unsp. Sanddabs","Citharichthys spp.","GRND","FLAT, SDAB, RFLT"
"UDF1","Unsp. Deep-91 flounders",NA,"GRND","FLAT, RFLT"
"UDF2","Unsp. Deep-95 flounders",NA,"GRND","FLAT, RFLT"
"UDM1","Unsp. Demersal-91",NA,"GRND","ROCK"
"UDNR","Unsp. Deep near-shore rf",NA,"GRND","ROCK, NSHR, SSRD"
"UDSR","Unsp. Demersal rkfsh",NA,"GRND","ROCK"
"UDW1","Shortraker+rougheye","Sebastes spp.","GRND","ROCK"
"UECH","Unsp. Echinoderm","Echinodermata spp.","OTHR","ECHN"
"UFL1","Flounders (no fsol)",NA,"GRND","FLAT, RFLT"
"UFLT","Unsp. Flatfish",NA,"GRND","FLAT, RFLT"
"UGLG","Unsp. Greenling",NA,"OTHR",""
"UGRN","Unsp. Groundfish",NA,"GRND","MGRN"
"UHAG","Unsp. Hagfish","Eptatretus spp.","OTHR",""
"UHLB","Unsp. Halibut",NA,"OTHR",""
"UJEL","Unsp. Jellyfish","Scyphozoa spp.","OTHR",""
"UKCR","Unsp. King crab",NA,"CRAB","KCRB"
"UMCK","Unsp. Mackerel",NA,"CPEL","WETF"
"UMSK","Unsp. Mollusks",NA,"OTHR","MLSK"
"UPLG","Unsp. Pelagic rkfsh",NA,"GRND","ROCK"
"UPOP","Unsp. Pop group",NA,"GRND","ROCK, SSLP"
"URCK","Unsp. Rockfish",NA,"GRND","ROCK"
"URK1","Srkr+reye+nrck+shrp",NA,"GRND","ROCK"
"URND","Unsp. Roundfish",NA,"GRND","ROND"
"USCL","Unsp. Scallop",NA,"SHLL","SCAL"
"USCU","Unsp. Sea cucumbers",NA,"OTHR","ECHN"
"USF1","Unsp. Shallow-91 flounders",NA,"GRND","FLAT, RFLT"
"USHR","Unsp. Near-shore rockfish",NA,"GRND","ROCK, NSHR"
"USKT","Unsp. Skate","Rajidae spp.","GRND","MGRN, SKAT"
"USLF","Unsp. Shelf rockfish",NA,"GRND","ROCK, NSLF, SSLF"
"USLP","Unsp. Slope rockfish",NA,"GRND","ROCK, NSLP, SSLP"
"USLR","Unsp. Slope rkfsh",NA,"GRND","ROCK"
"USMN","Unsp. Salmon",NA,"SAMN",""
"USR1","Unsp. Slope-91",NA,"GRND","ROCK"
"USR2","Unsp. Slope-93",NA,"GRND","ROCK"
"USRK","Unsp. Shark","Elasmobranchii spp.","OTHR","SHRK"
"USRM","Unsp. Ocean shrimp",NA,"SRMP",""
"USTG","Unsp. Sturgeon",NA,"OTHR","STRG"
"USTR","Unsp. Oyster",NA,"SHLL","OYST"
"UTCR","Unsp. Tanner crab",NA,"CRAB","TCRB"
"UTNA","Unsp. Tuna",NA,"HMSP","TUNA"
"UTRB","Unsp. Turbots",NA,"GRND","FLAT, TRBT, RFLT"
"UURC","Unsp. Sea urchins","Echinodermata spp.","OTHR","ECHN"
"VCLM","Varnish clam","Nuttallia obscurata","SHLL","CLAM"
"VRM1","Nom. Vermillion rockfish","Sebastes spp.","GRND","ROCK, NSLF, SSLF"
"VRML","Vermilion rockfish","Sebastes miniatus","GRND","ROCK, NSLF, SSLF"
"WABL","White abalone","Haliotis sorenseni","SHLL","ABLN"
"WBAS","White seabass","Atractoscion nobilis","OTHR","BASS"
"WCLM","Washington clam","Saxidomus nuttalli","SHLL","CLAM"
"WCRK","White croaker","Genyonemus lineatus","OTHR",""
"WDOW","Widow rockfish","Sebastes entomelas","GRND","ROCK"
"WDW1","Nom. Widow rockfish","Sebastes spp.","GRND","ROCK"
"WEEL","Wolf eel","Anarrhichthys ocellatus","OTHR",""
"WETF","All wet fish",NA,"CPEL",""
"WHOO","Wahoo","Acanthocybium solandri","OTHR",""
"WSTG","White sturgeon","Acipenser transmontanus","OTHR","STRG"
"XXXX","Unknown species",NA,"XXXX","XXXX"
"YEY1","Nom. Yelloweye rockfish","Sebastes spp.","GRND","ROCK"
"YEYE","Yelloweye rockfish","Sebastes ruberrimus","GRND","ROCK"
"YLTL","Yellowtail","Seriola lalandi","OTHR",""
"YMTH","Yellowmouth rockfish","Sebastes reedi","GRND","ROCK, NSLP, SSLP"
"YSOL","Yellowfin sole","Limanda aspera","GRND","FLAT, RFLT"
"YTNA","Yellowfin tuna","Thunnus albacares","HMSP","TUNA"
"YTR1","Nom. Yellowtail rockfish","Sebastes spp.","GRND","ROCK, SSLF"
"YTRK","Yellowtail rockfish","Sebastes flavidus","GRND","ROCK, SSLF"
