"","X","filename","decade","category","license","year","fees_usd","items","revenues_usd"
"233",233,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2005,1393.75,9,12544
"234",234,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2005,50.75,29,1472
"235",235,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2006,1464.25,240,351420
"236",236,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2006,585.5,134,78457
"237",237,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2006,585.5,45,26348
"238",238,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2006,585.5,274,160427
"239",239,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2006,395.5,280,110740
"240",240,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2006,73.5,414,30429
"241",241,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2006,58.5,185,10823
"242",242,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2006,1464.25,9,13178
"243",243,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2006,53.25,26,1385
"244",244,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2007,1560.25,234,365099
"245",245,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2007,624,142,88608
"246",246,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2007,624,34,21216
"247",247,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2007,624,253,157872
"248",248,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2007,421.5,275,115913
"249",249,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2007,78.25,403,31535
"250",250,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2007,62.25,170,10583
"251",251,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2007,1560.25,7,10922
"252",252,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2007,56.75,23,1305
"253",253,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2008,1626.75,222,361139
"254",254,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2008,650.5,158,102779
"255",255,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2008,650.5,43,27972
"256",256,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2008,650.5,259,168480
"257",257,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2008,439.5,276,121302
"258",258,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2008,81.5,341,27792
"259",259,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2008,65,165,10725
"260",260,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2008,1626.75,8,13014
"261",261,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2008,59.25,23,1363
"262",262,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2009,1727.5,216,373140
"263",263,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH IMPORTER",2009,690.75,141,97396
"264",264,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH PROCESSOR",2009,690.75,42,29012
"265",265,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH RECEIVER",2009,690.75,253,174760
"266",266,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISH WHOLESALER LICENSE",2009,466.75,274,127890
"267",267,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","FISHERMAN'S RETAILER",2009,86.5,375,32438
"268",268,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","LIVE FRESH WATER BAIT LICENSE",2009,69,172,11868
"269",269,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2009,1727.5,9,15548
"270",270,"tabula-2000s Fees Fish Business.csv","2000s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2009,63,22,1386
"271",271,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2010,1742.25,213,371099
"272",272,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2010,696.75,133,92668
"273",273,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2010,696.75,45,31354
"274",274,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2010,696.75,241,167917
"275",275,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2010,470.75,270,127103
"276",276,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2010,87.25,353,30799
"277",277,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2010,69.5,167,11607
"278",278,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2010,1742.25,6,10454
"279",279,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2010,63.5,21,1334
"280",280,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2011,1771.5,210,372015
"281",281,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2011,708.5,138,97773
"282",282,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2011,708.5,52,36842
"283",283,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2011,708.5,248,175708
"284",284,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2011,478.75,254,121603
"285",285,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2011,88.75,354,31418
"286",286,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2011,70.75,139,9834
"287",287,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2011,1771.5,6,10629
"288",288,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2011,64.5,22,1419
"289",289,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2012,1821.5,221,402552
"290",290,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2012,728.5,150,109275
"291",291,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2012,728.5,41,29869
"292",292,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2012,728.5,269,195967
"293",293,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2012,492.25,251,123555
"294",294,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2012,91.25,376,34310
"295",295,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2012,72.75,125,9094
"296",296,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2012,1821.5,7,12751
"297",297,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2012,66.25,21,1391
"298",298,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2013,1869,210,392490
"299",299,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2013,747.5,136,101660
"300",300,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2013,747.5,34,25415
"301",301,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2013,747.5,270,201825
"302",302,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2013,505,248,125240
"303",303,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2013,93.75,363,34031
"304",304,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2013,74.75,119,8895
"305",305,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2013,1869,7,13083
"306",306,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2013,68,16,1088
"307",307,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2014,1890.5,237,448049
"308",308,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2014,756.25,127,96044
"309",309,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2014,756.25,34,25713
"310",310,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2014,756.25,249,188306
"311",311,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2014,510.75,238,121559
"312",312,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2014,94.75,338,32026
"313",313,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2014,75.5,110,8305
"314",314,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2014,1890.5,8,15124
"315",315,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2014,68.75,15,1031
"316",316,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2015,1915.5,233,446312
"317",317,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2015,766.25,116,88885
"318",318,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2015,766.25,37,28351
"319",319,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2015,766.25,271,207654
"320",320,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2015,517.5,233,120578
"321",321,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2015,96,372,35712
"322",322,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2015,76.5,112,8568
"323",323,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2015,1915.5,9,17240
"324",324,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2015,69.75,17,1186
"325",325,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2016,1915.5,227,434819
"326",326,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2016,766.25,125,95781
"327",327,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2016,766.25,35,26819
"328",328,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2016,766.25,250,191563
"329",329,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2016,517.5,237,122648
"330",330,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2016,96,326,31296
"331",331,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2016,76.5,104,7956
"332",332,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2016,1915.5,9,17240
"333",333,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2016,69.75,15,1046
"334",334,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2017,1920.75,222,426407
"335",335,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2017,768.25,116,89117
"336",336,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2017,768.25,34,26121
"337",337,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2017,768.25,250,192063
"338",338,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2017,519,232,120408
"339",339,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2017,96.25,338,32533
"340",340,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2017,76.75,106,8136
"341",341,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2017,1920.75,11,21128
"342",342,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2017,70,13,910
"343",343,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2018,1976.75,236,466513
"344",344,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2018,790.75,103,81447
"345",345,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2018,790.75,35,27676
"346",346,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2018,790.75,252,199269
"347",347,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2018,534,213,113742
"348",348,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2018,99,348,34452
"349",349,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2018,79,100,7900
"350",350,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2018,1976.75,10,19768
"351",351,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2018,72,12,864
"352",352,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH BUSINESS (MULTIFUNCTION)",2019,2041,221,451061
"353",353,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH IMPORTER",2019,816.5,101,82467
"354",354,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH PROCESSOR",2019,816.5,29,23679
"355",355,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH RECEIVER",2019,816.5,246,200859
"356",356,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISH WHOLESALER LICENSE",2019,551.25,204,112455
"357",357,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","FISHERMAN'S RETAILER",2019,102.25,365,37321
"358",358,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","LIVE FRESH WATER BAIT LICENSE",2019,81.5,97,7906
"359",359,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2019,2041,9,18369
"360",360,"tabula-2010s Fees Fish Business.csv","2010s","Licenses","SPORT-CAUGHT FISH EXCHANGE",2019,74.25,9,668
"361",361,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2020,2086.25,219,456889
"362",362,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2020,834.5,96,80112
"363",363,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2020,834.5,32,26704
"364",364,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2020,834.5,272,226984
"365",365,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2020,563.5,204,114954
"366",366,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2020,104.5,582,60819
"367",367,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2020,83.25,81,6743
"368",368,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2020,2086.25,9,18776
"369",369,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2020,76,11,836
"370",370,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2020,274.25,0,0
"371",371,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2021,2149.75,237,509491
"372",372,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2021,860,98,84280
"373",373,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2021,860,27,23220
"374",374,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2021,860,261,224460
"375",375,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2021,580.75,198,114989
"376",376,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2021,107.75,562,60556
"377",377,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2021,85.75,86,7375
"378",378,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2021,2149.75,8,17198
"379",379,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2021,78.25,12,939
"380",380,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2021,282.5,2,565
"381",381,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2022,2208.5,230,507955
"382",382,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2022,883.5,89,78632
"383",383,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2022,883.5,26,22971
"384",384,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2022,883.5,213,188186
"385",385,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2022,596.5,174,103791
"386",386,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2022,110.75,413,45740
"387",387,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2022,88,73,6424
"388",388,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2022,2208.5,7,15460
"389",389,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2022,80.5,13,1047
"390",390,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2022,290.25,1,290
"391",391,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2023,NA,NA,NA
"392",392,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2023,NA,NA,NA
"393",393,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2023,NA,NA,NA
"394",394,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2023,NA,NA,NA
"395",395,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2023,NA,NA,NA
"396",396,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2023,NA,NA,NA
"397",397,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2023,NA,NA,NA
"398",398,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2023,NA,NA,NA
"399",399,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2023,NA,NA,NA
"400",400,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2023,NA,NA,NA
"401",401,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2024,NA,NA,NA
"402",402,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2024,NA,NA,NA
"403",403,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2024,NA,NA,NA
"404",404,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2024,NA,NA,NA
"405",405,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2024,NA,NA,NA
"406",406,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2024,NA,NA,NA
"407",407,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2024,NA,NA,NA
"408",408,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2024,NA,NA,NA
"409",409,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2024,NA,NA,NA
"410",410,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2024,NA,NA,NA
"411",411,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2025,NA,NA,NA
"412",412,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2025,NA,NA,NA
"413",413,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2025,NA,NA,NA
"414",414,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2025,NA,NA,NA
"415",415,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2025,NA,NA,NA
"416",416,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2025,NA,NA,NA
"417",417,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2025,NA,NA,NA
"418",418,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2025,NA,NA,NA
"419",419,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2025,NA,NA,NA
"420",420,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2025,NA,NA,NA
"421",421,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2026,NA,NA,NA
"422",422,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2026,NA,NA,NA
"423",423,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2026,NA,NA,NA
"424",424,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2026,NA,NA,NA
"425",425,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2026,NA,NA,NA
"426",426,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2026,NA,NA,NA
"427",427,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2026,NA,NA,NA
"428",428,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2026,NA,NA,NA
"429",429,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2026,NA,NA,NA
"430",430,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2026,NA,NA,NA
"431",431,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2027,NA,NA,NA
"432",432,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2027,NA,NA,NA
"433",433,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2027,NA,NA,NA
"434",434,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2027,NA,NA,NA
"435",435,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2027,NA,NA,NA
"436",436,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2027,NA,NA,NA
"437",437,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2027,NA,NA,NA
"438",438,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2027,NA,NA,NA
"439",439,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2027,NA,NA,NA
"440",440,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2027,NA,NA,NA
"441",441,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2028,NA,NA,NA
"442",442,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2028,NA,NA,NA
"443",443,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2028,NA,NA,NA
"444",444,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2028,NA,NA,NA
"445",445,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2028,NA,NA,NA
"446",446,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISHERMAN'S RETAILER",2028,NA,NA,NA
"447",447,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","LIVE FRESH WATER BAIT LICENSE",2028,NA,NA,NA
"448",448,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","MARINE AQUARIA RECEIVERS LICENSE",2028,NA,NA,NA
"449",449,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","SPORT CAUGHT FISH EXCHANGE",2028,NA,NA,NA
"450",450,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","STURGEON EGG PROCESSING PERMIT",2028,NA,NA,NA
"451",451,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH BUSINESS MULTIFUNCTION",2029,NA,NA,NA
"452",452,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH IMPORTER",2029,NA,NA,NA
"453",453,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH PROCESSOR",2029,NA,NA,NA
"454",454,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH RECEIVER",2029,NA,NA,NA
"455",455,"tabula-2020s Fees Fish Business.csv","2020s","Licenses","FISH WHOLESALER LICENSE",2029,NA,NA,NA
