"source","table","region","port_complex_group","port_complex","year","category","comm_name_orig","comm_name","sci_name","landings_n"
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Other species","Seabass, white","White seabass","Atractoscion nobilis",231
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Rockfish, blue","Blue rockfish","Sebastes mystinus",80
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Scorpionfish, California","California scorpionfish","Scorpaena guttata",24568
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Rockfish, canary","Canary rockfish","Sebastes pinniger",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Rockfish, copper","Copper rockfish","Sebastes caurinus",68
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Rockfish, gopher","Gopher rockfish","Sebastes carnatus",1
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Rockfishes, unspecified","Rockfish","Sebastes spp.",20892
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Rockfish","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",55
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Roundfish","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",458
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,"Salmon","Salmon, king (Chinook)","Chinook salmon","Oncorhynchus tshawytscha",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Coastal pelagic species","Barracuda, California","California barracuda","Sphyraena argentea",49745
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Coastal pelagic species","Bonito, Pacific","Pacific bonito","Sarda chiliensis",8597
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Coastal pelagic species","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",390
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Coastal pelagic species","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",4947
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Flatfish","Halibut, California","California halibut","Paralichthys californicus",1093
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Flatfish","Flatfishes, unspecified","Flatfish","Pleuronectiformes spp.",180
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Flatfish","Sanddab","Sanddab","Citharichthys spp.",76049
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Highly migratory species","Tuna, albacore","Albacore tuna","Thunnus alalunga",6292
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Highly migratory species","Other highly migratory spp","Other highly migratory species","Osteichthyes spp.",3488
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Highly migratory species","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",6692
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",182474
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Sheephead, California","California sheephead","Semicossyphus pulcher",10308
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Fishes, unspecified","Fish","Osteichthyes spp.",36340
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Invertebrates, unspecified","Invertebrate","Invertebrate spp.",3942
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Bass, kelp (calico)","Kelp bass","Paralabrax clathratus",81434
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",7410
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Shark, unspecified","Shark","Selachimorpha spp.",39
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Bass, striped","Striped bass","Morone saxatilis",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Sturgeon, unspecified","Sturgeon","Acipenser spp.",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",1118
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Other species","Seabass, white","White seabass","Atractoscion nobilis",3902
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Rockfish, blue","Blue rockfish","Sebastes mystinus",80
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Scorpionfish, California","California scorpionfish","Scorpaena guttata",17445
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Rockfish, canary","Canary rockfish","Sebastes pinniger",13
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Rockfish, copper","Copper rockfish","Sebastes caurinus",45
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Rockfish, gopher","Gopher rockfish","Sebastes carnatus",2
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Rockfishes, unspecified","Rockfish","Sebastes spp.",24160
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Rockfish","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",44
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",54
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Roundfish","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",1756
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,"Salmon","Salmon, king (Chinook)","Chinook salmon","Oncorhynchus tshawytscha",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Coastal pelagic species","Barracuda, California","California barracuda","Sphyraena argentea",28082
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Coastal pelagic species","Bonito, Pacific","Pacific bonito","Sarda chiliensis",11618
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Coastal pelagic species","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",155
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Coastal pelagic species","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",14034
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Flatfish","Halibut, California","California halibut","Paralichthys californicus",306
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Flatfish","Flatfishes, unspecified","Flatfish","Pleuronectiformes spp.",35
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Flatfish","Sanddab","Sanddab","Citharichthys spp.",73
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Highly migratory species","Tuna, albacore","Albacore tuna","Thunnus alalunga",217726
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Highly migratory species","Other highly migratory spp","Other highly migratory species","Osteichthyes spp.",80476
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Highly migratory species","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",59442
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",100025
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Sheephead, California","California sheephead","Semicossyphus pulcher",1893
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Fishes, unspecified","Fish","Osteichthyes spp.",5673
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Invertebrates, unspecified","Invertebrate","Invertebrate spp.",523
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Bass, kelp (calico)","Kelp bass","Paralabrax clathratus",69054
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",12538
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Shark, unspecified","Shark","Selachimorpha spp.",59
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Bass, striped","Striped bass","Morone saxatilis",1
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Sturgeon, unspecified","Sturgeon","Acipenser spp.",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",166
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Other species","Seabass, white","White seabass","Atractoscion nobilis",243
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Rockfish, blue","Blue rockfish","Sebastes mystinus",123
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Scorpionfish, California","California scorpionfish","Scorpaena guttata",20006
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Rockfish, canary","Canary rockfish","Sebastes pinniger",910
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Rockfish, copper","Copper rockfish","Sebastes caurinus",136
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Rockfish, gopher","Gopher rockfish","Sebastes carnatus",267
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Rockfishes, unspecified","Rockfish","Sebastes spp.",51401
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Rockfish","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",19
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",164
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Roundfish","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",0
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",7690
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,"Salmon","Salmon, king (Chinook)","Chinook salmon","Oncorhynchus tshawytscha",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Coastal pelagic species","Barracuda, California","California barracuda","Sphyraena argentea",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Coastal pelagic species","Bonito, Pacific","Pacific bonito","Sarda chiliensis",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Coastal pelagic species","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Coastal pelagic species","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Flatfish","Halibut, California","California halibut","Paralichthys californicus",1
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Flatfish","Flatfishes, unspecified","Flatfish","Pleuronectiformes spp.",2
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Flatfish","Sanddab","Sanddab","Citharichthys spp.",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Highly migratory species","Tuna, albacore","Albacore tuna","Thunnus alalunga",147
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Highly migratory species","Other highly migratory spp","Other highly migratory species","Osteichthyes spp.",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Highly migratory species","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Sheephead, California","California sheephead","Semicossyphus pulcher",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Fishes, unspecified","Fish","Osteichthyes spp.",30
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Invertebrates, unspecified","Invertebrate","Invertebrate spp.",15522
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Bass, kelp (calico)","Kelp bass","Paralabrax clathratus",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Shark, unspecified","Shark","Selachimorpha spp.",1
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Bass, striped","Striped bass","Morone saxatilis",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Sturgeon, unspecified","Sturgeon","Acipenser spp.",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",1
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Other species","Seabass, white","White seabass","Atractoscion nobilis",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Rockfish, blue","Blue rockfish","Sebastes mystinus",32579
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Scorpionfish, California","California scorpionfish","Scorpaena guttata",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Rockfish, canary","Canary rockfish","Sebastes pinniger",31
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Rockfish, copper","Copper rockfish","Sebastes caurinus",383
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Rockfish, gopher","Gopher rockfish","Sebastes carnatus",849
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Rockfishes, unspecified","Rockfish","Sebastes spp.",19523
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Rockfish","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",11
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",348
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Roundfish","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",1029
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",1643
"CDFW 2005","landings04_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2004,"Salmon","Salmon, king (Chinook)","Chinook salmon","Oncorhynchus tshawytscha",8506
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Coastal pelagic species","Barracuda, California","California barracuda","Sphyraena argentea",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Coastal pelagic species","Bonito, Pacific","Pacific bonito","Sarda chiliensis",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Coastal pelagic species","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",30
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Coastal pelagic species","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",14
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Flatfish","Halibut, California","California halibut","Paralichthys californicus",50
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Flatfish","Flatfishes, unspecified","Flatfish","Pleuronectiformes spp.",143
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Flatfish","Sanddab","Sanddab","Citharichthys spp.",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Highly migratory species","Tuna, albacore","Albacore tuna","Thunnus alalunga",332
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Highly migratory species","Other highly migratory spp","Other highly migratory species","Osteichthyes spp.",10
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Highly migratory species","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Sheephead, California","California sheephead","Semicossyphus pulcher",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Fishes, unspecified","Fish","Osteichthyes spp.",102
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Invertebrates, unspecified","Invertebrate","Invertebrate spp.",5412
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Bass, kelp (calico)","Kelp bass","Paralabrax clathratus",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Shark, unspecified","Shark","Selachimorpha spp.",11
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Bass, striped","Striped bass","Morone saxatilis",44
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Sturgeon, unspecified","Sturgeon","Acipenser spp.",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",32
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Other species","Seabass, white","White seabass","Atractoscion nobilis",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Rockfish, blue","Blue rockfish","Sebastes mystinus",20907
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Scorpionfish, California","California scorpionfish","Scorpaena guttata",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Rockfish, canary","Canary rockfish","Sebastes pinniger",7
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Rockfish, copper","Copper rockfish","Sebastes caurinus",900
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Rockfish, gopher","Gopher rockfish","Sebastes carnatus",6824
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Rockfishes, unspecified","Rockfish","Sebastes spp.",37827
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Rockfish","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Roundfish","Cabezon","Cabezon","Scorpaenichthys marmoratus",1152
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Roundfish","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",1140
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Roundfish","Lingcod","Lingcod","Ophiodon elongatus",1793
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,"Salmon","Salmon, king (Chinook)","Chinook salmon","Oncorhynchus tshawytscha",23501
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Coastal pelagic species","Barracuda, California","California barracuda","Sphyraena argentea",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Coastal pelagic species","Bonito, Pacific","Pacific bonito","Sarda chiliensis",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Coastal pelagic species","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",113
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Coastal pelagic species","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",77
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Flatfish","Halibut, California","California halibut","Paralichthys californicus",3308
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Flatfish","Flatfishes, unspecified","Flatfish","Pleuronectiformes spp.",31385
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Flatfish","Sanddab","Sanddab","Citharichthys spp.",793
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Highly migratory species","Tuna, albacore","Albacore tuna","Thunnus alalunga",492
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Highly migratory species","Other highly migratory spp","Other highly migratory species","Osteichthyes spp.",6
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Highly migratory species","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Other species","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Other species","Sheephead, California","California sheephead","Semicossyphus pulcher",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Other species","Fishes, unspecified","Fish","Osteichthyes spp.",719
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Other species","Invertebrates, unspecified","Invertebrate","Invertebrate spp.",14986
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Other species","Bass, kelp (calico)","Kelp bass","Paralabrax clathratus",0
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,"Other species","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",0
