"","data_source","authority","operator","facility_name","facility_id1","facility_id2","address1","address2","street_addres","locality","postal_code","description","type_use","commodity","storage_capacity","berth_description","keywords","website","long_dd","lat_dd"
"48","Lehigh Hanson Canada;  BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Lehigh Northwest Cement","Lehigh Northwest Cement",231,493,"Delta, BC","PO Box 950, 7777 Ross Rd, Delta, BC  V4G 1B8","","Delta","V4G 1B8","Terminal","Breakbulk and Bulk ","bulk Cement","N/A","length 182 m, depth 7.6 m FW","Lehigh; Delta; Terminal; Cement; Vancouver","http://lehighhansoncanada.com/",-123.0290179,49.1459722
"49","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Mission Harbour Authority","DFO Small Craft Harbour","Mission",232,427,"33428 Harbour Ave, Mission, BC","33428 Harbour Ave, Mission, BC","33428 Harbour Ave","Mission","V2V 2W4","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, restroom facilities, pay phone, laundry, pumpout","wharf and floats, launch, breakwater","Mission; Core; Fraser River; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-122.3001111,49.1289028
"50","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","McIvors Landing Harbour Authority","DFO Small Craft Harbour","McIvor's Landing (Langley)",233,551,"Langley, BC","Box 887, Station Fort Langley, Fort Langley, BC  V1M 2S3","","Langley","V1M 2S3","Port","Fishing ","fish, core fishing harbour","moorage, garbage, lights","wharf and floats, breakwater, derrick","McIvor's Landing; Fraser River; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-122.52501,49.163099
"51","Fraser Surrey Docks; Metro Port Vancouver; BC Ports Handbook 2014","Port Metro Vancouver ","Fraser Surrey Docks LP","Fraser Surrey Docks",234,195,"11060 Elevator Rd, Delta, BC","11060 Elevator Rd, Surrey, BC  V3V 2R7","11060 Elevator Rd","Delta","V3V 2R7","Terminal","Container","containerized cargo, steel products, forest products, project and general cargo","Total capacity up to 800 000 TEUs, 5 full service warehouses total 35,300 sq m. 3 sheds for weather sensative cargo, full rail cargo capacity","Berths #2/3/4: length 565 m, depth 11 m; #6: barge berth #7/8/9: length 705 m, depth 12.5 m; #10: length 200 m dolphin berth, depth 12 m","Fraser Surry Docks; Terminal; Containers; Steel; Forest Products; General Cargo; Fraser River","http://www.fsd.bc.ca/",-122.9210902,49.1754027
"52","Department of Fisheries and Oceans Small Craft Harbours","Mission Harbour Authority","DFO Small Craft Harbour","Whonnock",235,491,"Maple Ridge, BC","33428 Harbour Ave, Mission, BC  V2V 2W4","","Maple Ridge","V2V 2W4","Port","Fishing ","fish, core fishing harbour","moorage","wharf and floats","Whonnock; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-122.475386,49.172322
"53","Wallenius Wilhelmsen Logistics; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Wallenius Wilhelmsen Logistics","WWL Vehicle Services Canada",236,399,"#100 - 820 Dock Rd, Annacis Island, Delta, BC","#100 - 820 Dock Rd, Annacis Island, Delta, BC","#100 - 820 Dock Rd, Annacis Island","Delta","V3M 6A3","Terminal","Automobile","automobiles and roll-on / roll-off equipment","103 acres of land, on-site storage for 15,0000+ vehicles.","legnth: 213 and 190 m berths, depth 10.7 m","WWL; Vehicles; Fraser River; Terminal; Roll on Roll off","http://www.2wglobal.com/",-122.9215677,49.1860675
"54","Island Tug and Barge; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Island Tug and Barge","Berry Point Site",237,413,"800 Glasgow Ave, Burnaby, BC","800 Glasgow Ave, Burnaby, BC","800 Glasgow Ave","Burnaby","V6X 3C6","Shipyard","Vessel services","commercial vessel services","6 hectares land area; 19 hectares tidal water area","Berth 122 m length, 9.1 m wide, min depth 12 m","Berry Point; Vancouver; Island Tug and Barge; Vessel services; Terminal; Burrard Inlet","http://islandtug.com/",-122.9739567,49.1894971
"55","Burling Northern Santa Fe Railway; Fraser Surrey Docks;  Port Metro Vancouver; BC Ports Handbook 2014","Port Metro Vancouver ","Burlington Northern-Santa Fe","Burlington Northern-Santa Fe",238,309,"Surrey, BC","400 Brunette Ave, New Westminster, BC  V3L 3E8","","Surrey","V3L 3E8","Terminal","Breakbulk, Forest Products and Cargo","steel, breakbulk, pulp, newsprint, lumber, coal, forest products, agricultural products","2 hectares with 2800 sq m on-dock warehouse and on-dock rail service on Fraser Surrey Docks","200 m deep sea berth, depth alongside 10 m; mooring buoy, barge passover, 120 m barge dock with 6.5 m depth alongside, barge ramp","Burlington Northern; Santa Fe; Rail; Terminal; Fraser Surrey docks; Breakbulk; New Westminster; Port of Vancouver ","http://www.bnsf.com/ ; http://www.fsd.bc.ca/index.php/company/about-us/",-122.9125888,49.1891652
"56","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","McMillan Island",239,347,"Langley, BC","Langley, BC","","Langley","","Port","Fishing ","fish, core fishing harbour","moorage","wharf and floats","McMillian; Core; Fraser River; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-122.5669751,49.1799638
"57","BC Ports Handbook 2014; Department of Fisheries and Oceans Small Craft Harbours","Kanaka Landing Harbour Authority","DFO Small Craft Harbour","Albion",240,235,"Maple Ridge, BC","Box 1060 Station Albion, Maple Ridge, BC  V2W 1W1","","Maple Ridge","V2W 1W1","Port","Fishing ","fish, core fishing harbour","moorage, hydro, light services","wharf and floats","Albion; Port; Fraser River; Fishing; Core; Small Craft Harbour ","http://www.haa.bc.ca/harbour/albion",-122.557199,49.181362
"58","Port Alberni Harbour Authority; BC Ports Handbook 2014; Department of Fisheries and Oceans Harbour Authorities","Port Alberni Port Authority","Port Alberni Harbour Authority","Port Alberni Terminals",241,385,"2750 Harbour Rd, Port Alberni, BC","2750 Harbour Rd, Port Alberni, BC","2750 Harbour Rd","Port Alberni","V9Y 7X2","Terminal","Forest Products","lumber, paper","6.88 ha paved. 4 sheds at 4645 sq m","Berth #1/2 total length 320 m, depth 11.4 m; #3: length 183 m dock face, depth 12.2 m","Port Alberni; Terminal; Lumber; Paper","http://www.portalberniportauthority.ca/en/port-alberni-terminals",-124.8135341,49.2358226
"59","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Port Alberni Port Authority","DFO Small Craft Harbour","Port Alberni Fishing Harbour",242,291,"2750 Harbour Rd, Port Alberni, BC","2750 Harbour Rd, Port Alberni, BC","2750 Harbour Rd","Port Alberni","V9Y 7X2","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, parking, storage, restroom facilities, security, pumpout","wharf and floats, derrick, breakwater","Port Alberni; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.812814,49.236809
"60","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","Kanaka Landing Harbour Authority","DFO Small Craft Harbour","Kanaka (Haney) Landing",243,497,"23250 McKay Ave, Maple Ridge, BC","23250 McKay Ave, Maple Ridge, BC","23250 McKay Ave","Maple Ridge","V2W1B9","Port","Fishing ","fish, core fishing harbour","moorage, hydro, water, garbage, lights, pay phone","wharf and floats, breakwater, derrick","Kanaka Landing; Haney; Core; Fishing; Port; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-122.5776694,49.1896361
"61","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Marktosis (Ahousat Village)",244,409,"Ahousaht, BC","Ahousaht, BC","","Ahousaht","","Port","Fishing","fish, non-core fishing harbour","moorage","wharf and floats","Port; Non-core; Fishing; Marktosis; Ahousat Village; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-126.058799,49.278835
"62","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Ahousaht",245,187,"Ahousaht, BC","Ahousaht, BC","","Ahousaht","","Port","Fishing ","fish, non-core fishing harbour","N/A","dock and floats","Ahousaht; Port; Matilda Inlet; Flores Island; Non-core; Fishing; Small Craft Harbours","",-126.0714969,49.2821839
"63","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Schooner Cove - Breakwater",246,267,"Nanoose Bay, BC","Nanoose Bay, BC","","Nanoose Bay","","Harbour","Recreational","recreational harbour","N/A","wharf and floats","Schooner Cover; Harbour; Recreational; Small Craft Harbour ","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.1331895,49.2876371
"64","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia; BC Ports Handbook 2014","False Creek Harbour Authority","False Creek Harbour Authority","Vancouver (False Creek)",247,371,"1505 West 1st Ave, Vancouver, BC","1505 West 1st Ave, Vancouver, BC","1505 West 1st Ave","Vancouver","V6G 1E8","Harbour","Recreational",NA,"moorage, hydro, water, garbage, lights, parking, pumpout, restroom facilities, pay phone","wharf and floats, breakwater derrick","False Creek; Vancouver; Recreational; Harbour; Marina","http://www.haa.bc.ca/harbour/false-creek",-123.138939,49.272829
"65","Department of Fisheries and Oceans Small Craft Harbours","Department of Fisheries and Oceans","DFO Small Craft Harbour","Northwest Bay",248,211,"Nanoose Bay, BC","Nanoose Bay, BC","","Nanoose Bay","","Harbour","Recreational","recreational","moorage","wharf and floats, breakwater","Northwest Bay; Core; Fishing; Harbour; Small Craft Harbour","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.2015176,49.3025843
"66","BC Ports Handbook 2014; Port Metro Vancouver ","Port Metro Vancouver ","Harbour Master's Office","Main Street Dock",249,443,"Main St Dock, Vancouver, BC","Main St Dock, Vancouver, BC","Main St Dock","Vancouver","V6A 1B0","Terminal","Vessel Services","emergency and regulatory vessel services","A lay berth for small ships and has a barge ramp adjacent to the dock operated by Tymac Launch services.","Berth length 122 m, dock face 2205 m wide, depth alongside 5 m","Main Street Dock; Vancouver; Terminal; Vessel Services; Emergency; Police","http://www.cbsa-asfc.gc.ca/do-rb/offices-bureaux/353-eng.html",-123.0999541,49.28619
"67","Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Port Metro Vancouver","Ballantyne Pier",250,373,"655 Centennial Rd, Vancouver, BC","655 Centennial Rd, Vancouver, BC","655 Centennial Rd","Vancouver","V6A 4B8","Terminal","Passenger Cruise and Cargo","passengers, general cargo","Dock Apron: 10,100 sq m; Baggage area: 2320 sq m","East #1: length 366 m; West #2 used as an overflow berth, depth alongside: 10 m","Ballentine Pier; Vancouver; Terminal; Passenger; Cruise; General Cargo","http://www.portmetrovancouver.com/cargo-terminals/terminals/",-123.0864877,49.2871201
"68","Alliance Grain Terminal; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Alliance Grain Terminal","Alliance Grain Terminal",251,193,"1155 Stewart St, Vancouver, BC","1155 Stewart St, Vancouver, BC","1155 Stewart St","Vancouver","V6A 4H4","Terminal","Breakbulk and Bulk ","wheat, durum, barley, and canola","102,070 tonnes","West: length 213 m, limiting draft 9.8 m; East: length 213 m, limiting draft 12.6 m","Alliance Grain; Vancouver; Terminal; Breakbulk; Bulk; Grain","http://www.parrishandheimbecker.com/5_901",-123.0785756,49.2872804
"69","Lantic Inc; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Lantic Inc. ","Lantic Inc",252,273,"123 Rogers St, Vancouver, BC","123 Rogers St, Vancouver, BC","123 Rogers St","Vancouver","V6A 3N2","Terminal","Breakbulk and Bulk ","bulk sugar imports, also used as a lay berth","N/A","length 130 m, depth 9.1 m at LW","Lantic; Burrard Inlet; Sugar; Terminal; Vancouver","http://www.lantic.ca/en/",-123.0806179,49.2878166
"70","Port Metro Vancouver; DP World Vnacouver; BC Ports Handbook 2014","Port Metro Vancouver ","DP World Vnacouver","Centerm",253,231,"777 Centennial Rd, Vancouver, BC","777 Centennial Rd, Vancouver, BC","777 Centennial Rd","Vancouver","V6A 1A3","Terminal","Container","containerized, breakbulk cargo, forest products, general cargo","Site equipment: 6 container cranes, container moving equipment, scales; Container storage: 5-high grounded operations with 19000 TEUs storage","#1: length 350 m, depth 10.5 m; #2: length 200 m, depth 15.4 m; #3 length 200 m, depth 11.5 m; #4: length 183 m, depth 8.6 m; #5: length 324 m, depth 15.0 m; #6: length 324 m, depth 15.6 m","Centerm; Vancouver; Burrard Inlet; Terminal","https://www.dpworld.ca/",-123.0924344,49.2881834
"71","Port Metro Vancouver; BC Ports Handbook 2014; Viterra","Port Metro Vancouver ","Viterra","Pacific Elevators",254,295,"1803 Stewart St, Vancouver, BC","1803 Stewart St, Vancouver, BC","1803 Stewart St","Vancouver","V5L 5G1","Terminal","Breakbulk and Bulk","wheat, barley, canola, flax, feed and food peas, malt and various other bulk manufactured agriforage grades","571 concrete storage tanks with a combined total capacity of approximately 199,000 tonnes of grain","Berth #1: length 185 m, depth 9.6 m, lay berth;  #2: length 215 m, depth 13.7 m, loading berth;  #4: length 305 m, depth 10.2 m","Pacific Elevators; Terminal; Burrard Inlet; Vancouver; Viterra; Grain","https://www.viterra.com/web/canada",-123.0674207,49.2879611
"72","Canada Place; Port Metro Vancouver","Port Metro Vancouver ","Port Metro Vancouver","Canada Place (Cruise Ship Terminal)",255,341,"99 Canada Place, Vancouver, BC","99 Canada Place, Vancouver, BC","99 Canada Place","Vancouver","V6C 3T4","Terminal","Cruiseship","passengers","Dock Apron: 9500 sq m; Baggage area: 6000 sq m","East: length 506 m; West: length 329 m; North: length 274 m ","Canada Place; Vancouver; Cruise Ship; Terminal; Passenger; Burrard Inlet","http://www.canadaplace.ca/",-123.1094821,49.2895016
"73","Global Container Terminals Canada; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","TSI Terminal Systems, Inc. ","Vanterm",256,299,"1300 Stewart St, Vancouver, BC","1300 Stewart St, Vancouver, BC","1300 Stewart St","Vancouver","V5L 4X5","Terminal","Container and Bulk","containerized cargo and bulk oils","Terminal capacity 850 000 TEUs, includes loading/unloading cranes, computerized container/cargo system, rail and marine capacity","Berths #5/6 for Panamax vessels: length 619 m; #4 for Oil Vessel: length 183 m; #7 Utility berth: 91 m, average depth 15.2 - 15.5 m","Vanterm; Vancouver; Burrard Inlet; Terminal; Container; Bulk Oil","http://globalterminalscanada.com/",-123.0736116,49.2890498
"74","Pacific Coast Terminals; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Sultran Ltd","Pacific Coast Terminals",257,249,"2300 Columbia St, Port Moody, BC","2300 Columbia St, Port Moody, BC","2300 Columbia St","Port Moody","V3H 5J9","Terminal","Breakbulk and Bulk ","sulphur and ethylene glycol","220,000 tonnes sulphur in two windraw piles; 55,000 tonnes of ethylene glycol in six tanks","Berth #1: length 237 m, limiting draft 12.5 m; #2: length 293 m, limiting draft 12 m Panamax capacity","Pacific Coast; Terminal; Port Moody; Sulphur; Burrard Inlet","http://pct.ca/",-122.8618652,49.284861
"75","Shell Canada; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Shell Canada Products","Shellburn Terminal",258,483,"201 Kensington, Burnaby, BC","201 Kensington, Burnaby, BC","201 Kensington","Burnaby","V5B 4B2","Terminal","Breakbulk and Bulk","petroleum products","N/A","Outer berth: 122 m length, depth 8.9 m with mooring dolphins","Shellburn; Shell; Vancouver; Burrard Inlet; Petroleum; Terminal","http://www.shell.ca/",-122.9640374,49.2892916
"76","Port Metro Vancouver; BC Ports Handbook 2014; Viterra","Port Metro Vancouver ","Viterra","Cascadia Terminal",259,457,"3333 New Brighton Rd, Vancouver, BC","3333 New Brighton Rd, Vancouver, BC","3333 New Brighton Rd","Vancouver","V5K 5J7","Terminal","Breakbulk and Bulk ","wheat, durum, feed barley, malting barley, canola seed and specialty products","282,830 tonnes storage with 3200 tonnes per hour loading capacity, spout height above dock face 14.6 m.","Berth #1: length 274 m, depth 15.2 m","Cascadia; Terminal; Viterra; Vancouver; Burrard Inlet; Grain","https://www.viterra.com/web/canada",-123.0340698,49.2916742
"77","Chevron Canada Limited; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Chevron Canada Limited","Stanovan Terminal (Chevron Canada)",260,507,"355 Willingdon, Burnaby, BC","355 Willingdon, Burnaby, BC","355 Willingdon","Burnaby","V5C 1X4","Terminal","Breakbulk and Bulk ","petroleum products","N/A","length 85 m (216 m between mooring buoys), limiting draft 12.5 m","Chevron; Burrard Inlet; Terminal; Petroleum Products; Vancouver; Stanovan","http://www.chevron.ca/our-businesses/burnaby-refinery",-123.0041762,49.2919805
"78","Kinder Morgan Canada; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Kinder Morgan Canada","Kinder Morgan (Westridge Terminal)",261,411,"Burnaby, BC","Burnaby, BC","","Burnaby","V5A 4T3","Terminal","Breakbulk and Bulk ","crude petroleum, petroleum products, jet fuel","N/A","Main dock 91.4 m long, 305 m between extreme mooring dolphins, depth 11 m for vessels up to 250 m in length","Kinder Morgan; Burnaby; Burrard Inlet; Terminal; Petroleum","http://www.kindermorgan.com/pages/business/canada/transmountain.aspx",-122.9498933,49.2909715
"79","Suncore; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","PetroCanada Inc","PetroCanada Terminal",262,275,"9955 Barnett Hwy, Burnaby, BC","9955 Barnett Hwy, Burnaby, BC","9955 Barnett Hwy","Burnaby","V3H 3R5","Terminal","Breakbulk and Bulk ","crude petroleum, petroleum products, jet fuel","N/A","West: length 43 m, depth 12 m with mooring/breasting dolphin;  East: length 40 m, depth 6 m","Petro Canada; Petroleum; Burrard Inlet; Terminal; Burnaby; Suncor","http://www.suncor.com/default.aspx",-122.8982306,49.2901709
"80","Western Stevedoring Company Ltd.; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Western Stevedoring Company Ltd","Lynnterm East Gate",263,311,"15 Mountain Hwy, North Vancouver, BC","15 Mountain Hwy, North Vancouver, BC","15 Mountain Hwy","North Vancouver","V7J 2J9","Terminal","Breakbulk and Bulk ","wood pulp, lumber, plywood, steel, containers, project and general cargo","4 warehouses with 6,250,000 sq ft suitable for storage of forest products, general cargo and steel","Berth 4: length 213 m, limiting draft 13.1 m; #5/6: length 213 m, limiting draft 15.2 m; #7: length 200 m, limiting draft 12.3","Lynnterm; east gate; Vancouver; Burrard Inlet; Terminal; Breakbulk","http://www.westeve.com/",-123.0364596,49.2976888
"81","Port Metro Vancouver","Port Metro Vancouver ","Canexus Chemicals Canada Limited Partnership","Canexus Chemical",264,301,"100 Amherst Ave, North Vancouver, BC","100 Amherst Ave, North Vancouver, BC","100 Amherst Ave","North Vancouver","V7H 1T9","Terminal","Breakbulk and Bulk ","chemicals, salt, caustic soda, sodium chlorate","N/A","length 150 m (plus mooring floats 243 m apart) depth 10.50 m","Vancouver; Terminal; Fuel; Petrolum; Petroleum Products; Canexus Chemical; Burrard Inlet","http://www.portmetrovancouver.com/cargo-terminals/bulk/",-123.0145012,49.2973972
"82","Western Stevedoring Company Ltd.; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Western Stevedoring Company Ltd","Lynnterm West Gate",265,339,"95 Brooksbank Ave, North Vancouver, BC","95 Brooksbank Ave, North Vancouver, BC","95 Brooksbank Ave","North Vancouver","V7J 2J9","Terminal","Breakbulk and Bulk ","wood pulp, lumber, plywood, steel, containers, project and general cargo","3 warehouses with 250,000 square feet undercover storage of woodpulp, steel, plywood","Berth #1: length 180 m, limiting draft 11.2 m; #2: length 196 m, limiting draft 13.2 m; #3: length 196 m, limiting draft 13.0 m","Lynnterm; west gate; Vancouver; Burrard Inlet; Terminal; Breakbulk","http://www.westeve.com/term_operation.html",-123.0432901,49.3005638
"83","Allied Shipbuilders Ltd.; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Allied Shipbuilders Ltd","Allied Shipbuilders",266,233,"1870 Harbour Rd, North Vancouver, BC","1870 Harbour Rd, North Vancouver, BC","1870 Harbour Rd","North Vancouver","V7H 1A1","Shipyard","Shipyards and Ship Repair Facilities","ship building","N/A","1 side launching building berth 120 m, dry dock length 50 m, 20 m wide plus small dry dock and lay berths","Shipbuilder; Shipyard; Vancouver; Allied; Vessel Service; Repair","http://www.alliedship.com/",-123.0224427,49.3024631
"84","BC Ports Handbook 2014; Neptune Bulk Terminals","Port Metro Vancouver ","Canpotex, Teck resources Ltd, Bunge Canada","Neptune Bulk Terminals",267,549,"1001 Low Level Rd, North Vancouver, BC","1001 Low Level Rd, North Vancouver, BC","1001 Low Level Rd","North Vancouver","V7L 1A7","Terminal","Breakbulk and Bulk ","steelmaking and energy coal, potash, canola oil, bulk agri-products, canola oil, phosphate rock","600,000 tonnes of coal, 210,000 tonnes dry bulk, 19,000 tonnes canola oil.  Site contains 4 equipment berths with Cape size vessel capacity","Berth #1: length 230 m, depth 15.24 m with floating dolphin; #2: length 230 m, depth 13.7 m with bollards; #3: length 100 m with mooring bollards depth 13 m","Neptune; Bulk; Terminal; Vancouver; Burrard Inlet","http://www.neptuneterminals.com/",-123.0528818,49.3035555
"85","James Richardson International; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","James Richardson International","Richardson International Terminal",268,367,"375 Low Level Rd, North Vancouver, BC","375 Low Level Rd, North Vancouver, BC","375 Low Level Rd","North Vancouver","V7L 1C1","Terminal","Breakbulk and Bulk ","canadian grain: wheat, canola, barley, barley malt, rye, flax and grain and feed products","108,000 tonnes","length 108 m, depth 15.24 m","Richardson; Terminal; Grain; Vancouver; Burrard Inlet","http://www.richardson.ca/",-123.0708901,49.3048999
"86","Port Metro Vancouver; Cargill Grain","Port Metro Vancouver ","Cargill Ltd","Cargill Vancouver Terminal",269,305,"801 Low Level Rd, North Vancouver, BC","801 Low Level Rd, North Vancouver, BC","801 Low Level Rd","North Vancouver","V7L 1A7","Terminal","Breakbulk and Bulk","wheat, canola, barley, peas, and other grain by-products","240,000 tonnes of grain","#1: length 228 m + 52 m, depth 15.3 m; #2: length 205 m, depth outshore 12.6 m at LW","Cargill; Vancouver; Terminal; Grain; Burrard Inlet","http://www.portmetrovancouver.com/cargo-terminals/bulk/",-123.0570262,49.3053027
"87","Allied Shipbuilders Ltd.; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Allied Shipbuilders Ltd","Dollarton Ship Yard",270,463,"3829 Dollarton Hwy, North Vancouver, BC","3829 Dollarton Hwy, North Vancouver, BC","3829 Dollarton Hwy","North Vancouver","V7G 1A1","Shipyard","Shipyards and Ship Repair Facilities","vessel repair and servicing","N/A","8.5 m by 30.48 m covered marine cradle","Shipyard; Shipbuilder; North Vancouver; Burrard Inlet; Dollarton","http://www.alliedship.com/index.php/contact/",-122.9637043,49.3030825
"88","Imperial Oil Canada; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Imperial Oil Company Limited","Ioco Terminal",271,475,"2225 Loco Rd, Ss 1, Port Moody, BC","2225 Loco Rd, Ss 1, Port Moody, BC","2225 Loco Rd, Ss 1","Port Moody","V3H 3C8","Terminal","Breakbulk and Bulk ","heavy fuel oil, intermediate fuel oils, marine gas oil","N/A","2 berths for barges and coastal tankers with mooring dolphins up to 35,000 deadweight tonnage; 2 berths without additional equipment, bunker barge loading capacity","Ioco; Port Moody; Burrard Inlet; Vancouver; Terminal; Petroleum products ","http://www.imperialoil.ca/Canada-English/default.aspx",-122.8723624,49.3014666
"89","Kinder Morgan Canada; Port Metro Vancouver; BC Ports Handbook 2014","Port Metro Vancouver ","Kinder Morgan Canada Terminals LP","Kinder Morgan (Vancouver Wharves)",272,351,"1995 West First St, North Vancouver, BC","1995 West First St, North Vancouver, BC","1995 West First St","North Vancouver","V7P 1A8","Terminal","Breakbulk and Bulk ","inbound and outbound bulk concentrates, exports liquids, sulphur, fertalizers, agriproducts","Four storage tanks, +165,000 tonnes sulphur storage, total site storage over 1 million tonnes","Berth depths: #1:13.7 m; #2:11.2 m; #3: 11.2 m; #4: 11.6 m; #5: 11.6 m; 5 equipment berths, rail car unloader, crane, dry-bulk systems, breakbulk equipment","Kinder Morgan; Vancouver Wharfs; Burrard Inlet; Terminal; Petroleum","http://www.kindermorgan.com/pages/business/terminals/canada.aspx",-123.1178373,49.3094333
"90","Seaspan; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Seaspan","Vancouver Drydock (Seaspan)",273,227,"203 East Esplanade, North Vancouver, BC","203 East Esplanade, North Vancouver, BC","203 East Esplanade","North Vancouver","V7L 1A1","Shipyard","Shipyards and Ship Repair Facilities","ship building","N/A","Panamax float dock 220 m full length, inside width 45.8 m, layberth 230 m length, 15 m width","Drydock; Vancouver; Seaspan; Burrard Inlet; Shipyard","http://www.seaspan.com/vancouver-drydock",-123.0761326,49.3087919
"91","Fibreco Export Inc; BC Ports Handbook 2014; Port Metro Vancouver","Port Metro Vancouver ","Fibreco Exports Inc","Fibreco Export Inc",274,511,"1209 McKeen Ave, North Vancouver, BC","1209 McKeen Ave, North Vancouver, BC","1209 McKeen Ave","North Vancouver","V7P 3H9","Terminal","Breakbulk and Bulk ","wood chips and wood pellets in bulk","100,000 BDU or 240,000 tonnes of wood chips and 27,000 tonnes of wood pellets","length 137 m with mooring dolphins, depth 11.5 m; loading and bulk discharge facility, loading rate 1200 tonnes/hour","Fibreco; North Vancouver; Terminal; Burrard Inlet; Forest Products","http://fibreco.com/",-123.1056845,49.3109027
"92","Seaspan; Port Metro Vancouver; BC Ports Handbook 2014 ","Port Metro Vancouver ","Seaspan","Vancouver Shipyards",275,525,"50 Pemberton Ave, North Vancouver, BC","50 Pemberton Ave, North Vancouver, BC","50 Pemberton Ave","North Vancouver","V7P 2R2","Shipyard","Shipyards and Ship Repair Facilities","ship building, repair, and servicing","40 acre yard on Burrard Inlet; 3 outfitting berths ","1 side launch construction berth 168 m length, 30 m width ","Shipyard; Shipbuilder; North Vancouver; Burrard Inlet; Seaspan","http://www.seaspan.com/vancouver-shipyards",-123.1055996,49.3147373
"93","Department of Fisheries and Oceans Small Craft Harbours; Harbour Authority of British Columbia","Harbour Authority of French Creek","DFO Small Craft Harbour","French Creek",276,479,"1055 Lee Rd, Parksville, BC","1055 Lee Rd, Parksville, BC","1055 Lee Rd","Parksville","V9P 2E1","Port","Fishing","fish, core fishing harbour","moorage, hydro, water, garbage, lights, security, parking, pumpout, storage, fuel sales, restroom facilities, pay phone, fuel sales","wharf and floats, breakwater derrick","French Creek; Core; Fishing; Port; Small Craft Harbour; Marina","http://www.dfo-mpo.gc.ca/sch-ppb/list-liste/harb-port-eng.asp?c=a&p=bc",-124.3572064,49.3495533
